10,about,account,additional,afraid,after,again,am,amount,and,another,any,are,arrive,asked,at,automatic,balanced,bank,be,because,been,believe,business,but,called,car,check,checkbook,checking,citizens,close,consumer,could,credit,dated,day,days,dealer,deducted,delay,delaying,deliberately,did,disputed,does,doing,earned,ethical,first,for,from,full,get,good,had,has,have,her,hold,hurt,if,illegal,in,included,information,interest,into,is,issued,it,letter,loan,loans,long,lost,mailed,make,me,meet,minimal,money,month,more,my,named,new,next,no,not,noticed,of,old,on,or,out,outdated,over,overpaid,paid,payment,payoff,policy,post,posting,previously,problem,purchased,questioned,receive,received,refund,removed,report,reporting,requirements,return,run,said,same,satisfied,sent,seven,she,should,simply,sometimes,staggering,stated,stating,still,supervisor,taken,takes,talked,that,the,their,them,then,they,this,thousands,till,to,today,told,took,trade,until,was,wed,when,where,why,will,would,xx,xxxx,year,years,yet
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,1,1,3,1,1,3,1,2,10,2,1,1,1,3,1,1,1,7,3,1,1,3,3,2,3,5,7,1,1,6,1,2,1,0,1,2,3,3,1,1,1,1,5,0,1,1,1,1,1,5,1,1,1,1,2,0,1,4,2,1,3,1,3,1,0,4,1,6,1,3,1,5,1,1,1,1,1,2,0,1,4,1,0,7,1,1,1,2,7,1,5,0,7,1,2,0,2,1,1,5,1,1,1,2,0,1,1,1,3,1,1,0,0,0,0,1,1,2,1,1,1,0,5,1,1,1,1,5,1,1,1,1,1,1,15,22,1,2,3,8,3,1,2,6,1,3,1,1,2,3,1,2,1,1,1,2,2,25,1,0,0
